Name of Account, Dollar Value in Millions, Date (yymmdd)
"Defense Vendor Payments",1717,120424
"Education Department programs",534,120424
"Energy Department programs",129,120424
"Federal Employees Insurance Payments",469,120424
"Fed. Highway Administration programs",158,120424
"Federal Salaries",177,120424
"Food and Nutrition Service",251,120424
"GSA programs",31,120424
"Health and Human Services Grants",321,120424
"Housing and Urban Development programs",170,120424
"Interest on Treasury Securities",1,120424
"Justice Department programs",821,120424
"Labor Dept. prgms",37,120424
"Medicaid",1114,120424
"Medicare",1760,120424
"NASA programs",98,120424
"Postal Service Money Orders and Other",143,120424
"Public Debt Cash Redemp.",773,120424
"Social Security Benefits",37,120424
"Supple. Nutrition Assist. Program",15,120424
"Transportation Security Admin.",1,120424
"Unemployment Insurance Benefits",565,120424
"Veterans Affairs programs",130,120424
"IRS Tax Refunds Business",162,120424
"IRS Tax Refunds Individual",1459,120424
"Unclassified",1665,120424
"Total, Other Withdrawals",3590,120424
"Transfers to Depositaries",0,120424
"Commodity Credit Corporation programs",81,120423
"Defense Vendor Payments",1397,120423
"Education Department programs",79,120423
"Energy Department programs",90,120423
"Federal Employees Insurance Payments",249,120423
"Fed. Highway Administration programs",155,120423
"Federal Salaries",54,120423
"Food and Nutrition Service",571,120423
"GSA programs",62,120423
"Health and Human Services Grants",242,120423
"Housing and Urban Development programs",166,120423
"Interest on Treasury Securities",1,120423
"Justice Department programs",57,120423
"Labor Dept. prgms",34,120423
"Medicaid",456,120423
"Medicare",1648,120423
"NASA programs",105,120423
"Postal Service Money Orders and Other",155,120423
"Public Debt Cash Redemp.",1013,120423
"Social Security Benefits",39,120423
"Supple. Nutrition Assist. Program",9,120423
"Transportation Security Admin.",1,120423
"Unemployment Insurance Benefits",273,120423
"Veterans Affairs programs",192,120423
"IRS Tax Refunds Business",62,120423
"IRS Tax Refunds Individual",2078,120423
"Unclassified",1589,120423
"Total, Other Withdrawals",5201,120423
"Transfers to Depositaries",0,120423
"Commodity Credit Corporation programs",24,120420
"Defense Vendor Payments",2064,120420
"Education Department programs",105,120420
"Energy Department programs",208,120420
"Federal Employees Insurance Payments",160,120420
"Fed. Highway Administration programs",110,120420
"Federal Salaries",91,120420
"Food and Nutrition Service",314,120420
"GSA programs",20,120420
"Health and Human Services Grants",338,120420
"Housing and Urban Development programs",158,120420
"Interest on Treasury Securities",2,120420
"Justice Department programs",40,120420
"Labor Dept. prgms",42,120420
"Medicaid",731,120420
"Medicare",1553,120420
"NASA programs",32,120420
"Postal Service Money Orders and Other",128,120420
"Public Debt Cash Redemp.",806,120420
"Social Security Benefits",37,120420
"Supple. Nutrition Assist. Program",12,120420
"Transportation Security Admin.",1,120420
"Unemployment Insurance Benefits",158,120420
"Veterans Affairs programs",111,120420
"IRS Tax Refunds Individual",2224,120420
"Unclassified",1489,120420
"Total, Other Withdrawals",4055,120420
"Transfers to Depositaries",0,120420
"Commodity Credit Corporation programs",20,120419
"Defense Vendor Payments",1576,120419
"Education Department programs",433,120419
"Energy Department programs",147,120419
"Federal Employees Insurance Payments",151,120419
"Fed. Highway Administration programs",122,120419
"Federal Salaries",794,120419
"Food and Nutrition Service",304,120419
"GSA programs",95,120419
"Health and Human Services Grants",359,120419
"Housing and Urban Development programs",202,120419
"Interest on Treasury Securities",1,120419
"Justice Department programs",54,120419
"Labor Dept. prgms",57,120419
"Medicaid",1904,120419
"Medicare",1493,120419
"NASA programs",25,120419
"Postal Service Money Orders and Other",132,120419
"Public Debt Cash Redemp.",143446,120419
"Social Security Benefits",40,120419
"Supple. Nutrition Assist. Program",9,120419
"Transportation Security Admin.",1,120419
"Unemployment Insurance Benefits",321,120419
"Veterans Affairs programs",113,120419
"Federal Crop Ins. Corp.",70,120419
"IRS Tax Refunds Business",70,120419
"IRS Tax Refunds Individual",1140,120419
"Unclassified",1496,120419
"Total, Other Withdrawals",2849,120419
"Transfers to Depositaries",0,120419
"Commodity Credit Corporation programs",13,120418
"Defense Vendor Payments",1344,120418
"Education Department programs",1132,120418
"Energy Department programs",81,120418
"Federal Employees Insurance Payments",253,120418
"Fed. Highway Administration programs",103,120418
"Federal Salaries",106,120418
"Food and Nutrition Service",401,120418
"GSA programs",56,120418
"Health and Human Services Grants",353,120418
"Housing and Urban Development programs",141,120418
"Interest on Treasury Securities",5,120418
"Justice Department programs",28,120418
"Labor Dept. prgms",51,120418
"Medicaid",646,120418
"Medicare",1496,120418
"NASA programs",40,120418
"Postal Service Money Orders and Other",100,120418
"Public Debt Cash Redemp.",991,120418
"Social Security Benefits",10448,120418
"Supple. Nutrition Assist. Program",28,120418
"Transportation Security Admin.",1,120418
"Unemployment Insurance Benefits",439,120418
"Veterans Affairs programs",126,120418
"IRS Tax Refunds Business",72,120418
"IRS Tax Refunds Individual",4511,120418
"Unclassified",1854,120418
"Total, Other Withdrawals",6593,120418
"Transfers to Depositaries",0,120418
"Commodity Credit Corporation programs",10,120417
"Defense Vendor Payments",1384,120417
"Education Department programs",490,120417
"Energy Department programs",113,120417
"Federal Employees Insurance Payments",211,120417
"Fed. Highway Administration programs",144,120417
"Federal Salaries",407,120417
"Food and Nutrition Service",359,120417
"GSA programs",47,120417
"Health and Human Services Grants",306,120417
"Housing and Urban Development programs",218,120417
"Interest on Treasury Securities",1,120417
"Justice Department programs",60,120417
"Labor Dept. prgms",44,120417
"Medicaid",774,120417
"Medicare",1765,120417
"NASA programs",27,120417
"Postal Service Money Orders and Other",152,120417
"Public Debt Cash Redemp.",778,120417
"Social Security Benefits",37,120417
"Supple. Nutrition Assist. Program",10,120417
"Transportation Security Admin.",1,120417
"Unemployment Insurance Benefits",554,120417
"Veterans Affairs programs",105,120417
"IRS Tax Refunds Individual",1180,120417
"Unclassified",1991,120417
"Total, Other Withdrawals",3682,120417
"Transfers to Depositaries",0,120417
"Commodity Credit Corporation programs",19,120416
"Defense Vendor Payments",1273,120416
"Education Department programs",575,120416
"Energy Department programs",166,120416
"Federal Employees Insurance Payments",201,120416
"Fed. Highway Administration programs",89,120416
"Federal Salaries",1384,120416
"Food and Nutrition Service",868,120416
"GSA programs",94,120416
"Health and Human Services Grants",384,120416
"Housing and Urban Development programs",190,120416
"Interest on Treasury Securities",2606,120416
"Justice Department programs",73,120416
"Labor Dept. prgms",43,120416
"Medicaid",543,120416
"Medicare",1211,120416
"NASA programs",24,120416
"Postal Service Money Orders and Other",258,120416
"Public Debt Cash Redemp.",56839,120416
"Social Security Benefits",38,120416
"Supple. Nutrition Assist. Program",30,120416
"Transportation Security Admin.",1,120416
"Unemployment Insurance Benefits",302,120416
"Veterans Affairs programs",220,120416
"IRS Tax Refunds Individual",1176,120416
"Treasury Department programs",59,120416
"Unclassified",1820,120416
"Total, Other Withdrawals",3947,120416
"Transfers to Depositaries",0,120416
"Commodity Credit Corporation programs",33,120413
"Defense Vendor Payments",1380,120413
"Education Department programs",591,120413
"Energy Department programs",342,120413
"Federal Employees Insurance Payments",417,120413
"Fed. Highway Administration programs",121,120413
"Federal Salaries",3127,120413
"Food and Nutrition Service",409,120413
"GSA programs",26,120413
"Health and Human Services Grants",344,120413
"Housing and Urban Development programs",265,120413
"Interest on Treasury Securities",0,120413
"Justice Department programs",85,120413
"Labor Dept. prgms",90,120413
"Medicaid",1267,120413
"Medicare",1458,120413
"NASA programs",42,120413
"Postal Service Money Orders and Other",131,120413
"Public Debt Cash Redemp.",767,120413
"Social Security Benefits",37,120413
"Supple. Nutrition Assist. Program",16,120413
"Transportation Security Admin.",1,120413
"Unemployment Insurance Benefits",174,120413
"Veterans Affairs programs",136,120413
"IRS Tax Refunds Business",287,120413
"IRS Tax Refunds Individual",1560,120413
"Military Active Duty Pay",2846,120413
"Unclassified",1469,120413
"Total, Other Withdrawals",6583,120413
"Transfers to Depositaries",0,120413
"Commodity Credit Corporation programs",19,120412
"Defense Vendor Payments",1086,120412
"Education Department programs",541,120412
"Energy Department programs",251,120412
"Federal Employees Insurance Payments",154,120412
"Fed. Highway Administration programs",91,120412
"Federal Salaries",84,120412
"Food and Nutrition Service",406,120412
"GSA programs",79,120412
"Health and Human Services Grants",438,120412
"Housing and Urban Development programs",178,120412
"Interest on Treasury Securities",1,120412
"Justice Department programs",46,120412
"Labor Dept. prgms",60,120412
"Medicaid",1498,120412
"Medicare",1198,120412
"NASA programs",56,120412
"Postal Service Money Orders and Other",139,120412
"Public Debt Cash Redemp.",100926,120412
"Social Security Benefits",43,120412
"Supple. Nutrition Assist. Program",107,120412
"Transportation Security Admin.",1,120412
"Unemployment Insurance Benefits",317,120412
"Veterans Affairs programs",142,120412
"International Monetary Fund",2661,120412
"IRS Tax Refunds Individual",873,120412
"Unclassified",2761,120412
"Total, Other Withdrawals",6798,120412
"Transfers to Depositaries",0,120412
"Commodity Credit Corporation programs",15,120411
"Defense Vendor Payments",1051,120411
"Education Department programs",607,120411
"Energy Department programs",113,120411
"Federal Employees Insurance Payments",264,120411
"Fed. Highway Administration programs",118,120411
"Federal Salaries",95,120411
"Food and Nutrition Service",436,120411
"GSA programs",95,120411
"Health and Human Services Grants",293,120411
"Housing and Urban Development programs",186,120411
"Interest on Treasury Securities",2,120411
"Justice Department programs",42,120411
"Labor Dept. prgms",38,120411
"Medicaid",1319,120411
"Medicare",1786,120411
"NASA programs",63,120411
"Postal Service Money Orders and Other",113,120411
"Public Debt Cash Redemp.",746,120411
"Social Security Benefits",10615,120411
"Supple. Nutrition Assist. Program",10,120411
"Transportation Security Admin.",1,120411
"Unemployment Insurance Benefits",427,120411
"Veterans Affairs programs",124,120411
"Emergency Prep &",64,120411
"Federal Financing Bank",109,120411
"IRS Tax Refunds Business",52,120411
"IRS Tax Refunds Individual",4024,120411
"Treasury Department programs",68,120411
"Unclassified",1264,120411
"Total, Other Withdrawals",5799,120411
"Transfers to Depositaries",0,120411
"Commodity Credit Corporation programs",10,120410
"Defense Vendor Payments",1182,120410
"Education Department programs",311,120410
"Energy Department programs",131,120410
"Federal Employees Insurance Payments",730,120410
"Fed. Highway Administration programs",184,120410
"Federal Salaries",66,120410
"Food and Nutrition Service",355,120410
"GSA programs",72,120410
"Health and Human Services Grants",409,120410
"Housing and Urban Development programs",191,120410
"Interest on Treasury Securities",2,120410
"Justice Department programs",65,120410
"Labor Dept. prgms",35,120410
"Medicaid",1260,120410
"Medicare",1389,120410
"NASA programs",95,120410
"Postal Service Money Orders and Other",108,120410
"Public Debt Cash Redemp.",771,120410
"Social Security Benefits",39,120410
"Supple. Nutrition Assist. Program",14,120410
"Transportation Security Admin.",1,120410
"Unemployment Insurance Benefits",572,120410
"Veterans Affairs programs",108,120410
"Federal Financing Bank",50,120410
"IRS Tax Refunds Business",274,120410
"IRS Tax Refunds Individual",1197,120410
"Unclassified",1638,120410
"Total, Other Withdrawals",3255,120410
"Transfers to Depositaries",0,120410
"Commodity Credit Corporation programs",25,120409
"Defense Vendor Payments",1117,120409
"Education Department programs",415,120409
"Energy Department programs",85,120409
"Federal Employees Insurance Payments",233,120409
"Fed. Highway Administration programs",63,120409
"Federal Salaries",135,120409
"Food and Nutrition Service",982,120409
"GSA programs",59,120409
"Health and Human Services Grants",256,120409
"Housing and Urban Development programs",223,120409
"Interest on Treasury Securities",1,120409
"Justice Department programs",94,120409
"Labor Dept. prgms",34,120409
"Medicaid",555,120409
"Medicare",1123,120409
"NASA programs",37,120409
"Postal Service Money Orders and Other",246,120409
"Public Debt Cash Redemp.",827,120409
"Social Security Benefits",47,120409
"Supple. Nutrition Assist. Program",30,120409
"Transportation Security Admin.",1,120409
"Unemployment Insurance Benefits",327,120409
"Veterans Affairs programs",213,120409
"IRS Tax Refunds Individual",1116,120409
"Unclassified",1572,120409
"Total, Other Withdrawals",3141,120409
"Transfers to Depositaries",0,120409
"Commodity Credit Corporation programs",16,120406
"Defense Vendor Payments",1384,120406
"Education Department programs",683,120406
"Energy Department programs",154,120406
"Federal Employees Insurance Payments",186,120406
"Fed. Highway Administration programs",62,120406
"Federal Salaries",172,120406
"Food and Nutrition Service",370,120406
"GSA programs",36,120406
"Health and Human Services Grants",357,120406
"Housing and Urban Development programs",205,120406
"Interest on Treasury Securities",1,120406
"Justice Department programs",86,120406
"Labor Dept. prgms",114,120406
"Medicaid",1203,120406
"Medicare",1250,120406
"NASA programs",95,120406
"Postal Service Money Orders and Other",159,120406
"Public Debt Cash Redemp.",784,120406
"Social Security Benefits",39,120406
"Supple. Nutrition Assist. Program",8,120406
"Transportation Security Admin.",1,120406
"Unemployment Insurance Benefits",154,120406
"Veterans Affairs programs",125,120406
"IRS Tax Refunds Individual",1643,120406
"Unclassified",1430,120406
"Total, Other Withdrawals",3287,120406
"Transfers to Depositaries",0,120406
"Commodity Credit Corporation programs",18,120405
"Defense Vendor Payments",1097,120405
"Education Department programs",579,120405
"Energy Department programs",140,120405
"Federal Employees Insurance Payments",150,120405
"Fed. Highway Administration programs",142,120405
"Federal Salaries",908,120405
"Food and Nutrition Service",329,120405
"GSA programs",76,120405
"Health and Human Services Grants",278,120405
"Housing and Urban Development programs",209,120405
"Interest on Treasury Securities",0,120405
"Justice Department programs",32,120405
"Labor Dept. prgms",65,120405
"Medicaid",1287,120405
"Medicare",1099,120405
"NASA programs",39,120405
"Postal Service Money Orders and Other",159,120405
"Public Debt Cash Redemp.",127099,120405
"Social Security Benefits",33,120405
"Supple. Nutrition Assist. Program",9,120405
"Transportation Security Admin.",8,120405
"Unemployment Insurance Benefits",291,120405
"Veterans Affairs programs",177,120405
"Federal Financing Bank",92,120405
"IRS Tax Refunds Business",267,120405
"IRS Tax Refunds Individual",643,120405
"Veterans Benefits",121,120405
"Unclassified",1788,120405
"Total, Other Withdrawals",3113,120405
"Transfers to Depositaries",0,120405
"Commodity Credit Corporation programs",21,120404
"Defense Vendor Payments",1341,120404
"Education Department programs",528,120404
"Energy Department programs",110,120404
"Federal Employees Insurance Payments",229,120404
"Fed. Highway Administration programs",117,120404
"Federal Salaries",499,120404
"Food and Nutrition Service",338,120404
"GSA programs",41,120404
"Health and Human Services Grants",298,120404
"Housing and Urban Development programs",347,120404
"Interest on Treasury Securities",1,120404
"Justice Department programs",137,120404
"Labor Dept. prgms",43,120404
"Medicaid",763,120404
"Medicare",1294,120404
"NASA programs",98,120404
"Postal Service Money Orders and Other",133,120404
"Public Debt Cash Redemp.",782,120404
"Social Security Benefits",50,120404
"Supple. Nutrition Assist. Program",6,120404
"Transportation Security Admin.",3,120404
"Unemployment Insurance Benefits",464,120404
"Veterans Affairs programs",133,120404
"Federal Financing Bank",57,120404
"IRS Tax Refunds Individual",4154,120404
"Unclassified",2301,120404
"Total, Other Withdrawals",6837,120404
"Transfers to Depositaries",0,120404
"Commodity Credit Corporation programs",12,120403
"Defense Vendor Payments",1197,120403
"Education Department programs",354,120403
"Energy Department programs",106,120403
"Federal Employees Insurance Payments",219,120403
"Fed. Highway Administration programs",79,120403
"Federal Salaries",600,120403
"Food and Nutrition Service",369,120403
"GSA programs",47,120403
"Health and Human Services Grants",391,120403
"Housing and Urban Development programs",371,120403
"Interest on Treasury Securities",1,120403
"Justice Department programs",116,120403
"Labor Dept. prgms",41,120403
"Medicaid",1141,120403
"Medicare",1560,120403
"NASA programs",86,120403
"Postal Service Money Orders and Other",177,120403
"Public Debt Cash Redemp.",778,120403
"Social Security Benefits",23140,120403
"Supple. Nutrition Assist. Program",9,120403
"Transportation Security Admin.",0,120403
"Unemployment Insurance Benefits",616,120403
"Veterans Affairs programs",115,120403
"IRS Tax Refunds Business",109,120403
"IRS Tax Refunds Individual",1121,120403
"Unclassified",2095,120403
"Total, Other Withdrawals",3834,120403
"Transfers to Depositaries",0,120403
"Commodity Credit Corporation programs",29,120402
"Defense Vendor Payments",1038,120402
"Education Department programs",528,120402
"Energy Department programs",96,120402
"Federal Employees Insurance Payments",179,120402
"Fed. Highway Administration programs",239,120402
"Federal Salaries",1487,120402
"Food and Nutrition Service",358,120402
"GSA programs",467,120402
"Health and Human Services Grants",308,120402
"Housing and Urban Development programs",2490,120402
"Interest on Treasury Securities",6378,120402
"Justice Department programs",11,120402
"Labor Dept. prgms",61,120402
"Medicaid",682,120402
"Medicare",1207,120402
"NASA programs",0,120402
"Postal Service Money Orders and Other",254,120402
"Public Debt Cash Redemp.",67217,120402
"Social Security Benefits",183,120402
"Supple. Nutrition Assist. Program",15,120402
"Transportation Security Admin.",0,120402
"Unemployment Insurance Benefits",293,120402
"Veterans Affairs programs",225,120402
"Civil Service Retirement",4834,120402
"Emergency Prep &",54,120402
"IRS Tax Refunds Individual",1195,120402
"Military Retirement",293,120402
"Railroad Retirement",941,120402
"Supple. Security Income Benefits",93,120402
"Unclassified",2269,120402
"Total, Other Withdrawals",9991,120402
"Transfers to Depositaries",0,120402
"Commodity Credit Corporation programs",25,120330
"Defense Vendor Payments",1766,120330
"Education Department programs",606,120330
"Energy Department programs",377,120330
"Federal Employees Insurance Payments",272,120330
"Fed. Highway Administration programs",194,120330
"Federal Salaries",3372,120330
"Food and Nutrition Service",235,120330
"GSA programs",25,120330
"Health and Human Services Grants",651,120330
"Housing and Urban Development programs",225,120330
"Interest on Treasury Securities",3,120330
"Justice Department programs",38,120330
"Labor Dept. prgms",56,120330
"Medicaid",445,120330
"Medicare",15666,120330
"NASA programs",0,120330
"Postal Service Money Orders and Other",354,120330
"Public Debt Cash Redemp.",829,120330
"Social Security Benefits",1,120330
"Supple. Nutrition Assist. Program",23,120330
"Transportation Security Admin.",0,120330
"Unemployment Insurance Benefits",182,120330
"Veterans Affairs programs",507,120330
"Federal Financing Bank",127,120330
"IRS Tax Refunds Individual",2258,120330
"Military Active Duty Pay",3929,120330
"Military Retirement",3640,120330
"Supple. Security Income Benefits",3325,120330
"Veterans Benefits",4000,120330
"Unclassified",1206,120330
"Total, Other Withdrawals",24494,120330
"Transfers to Depositaries",0,120330
"Commodity Credit Corporation programs",37,120329
"Defense Vendor Payments",2326,120329
"Education Department programs",1138,120329
"Energy Department programs",226,120329
"Federal Employees Insurance Payments",209,120329
"Fed. Highway Administration programs",74,120329
"Federal Salaries",127,120329
"Food and Nutrition Service",134,120329
"GSA programs",145,120329
"Health and Human Services Grants",430,120329
"Housing and Urban Development programs",224,120329
"Interest on Treasury Securities",1,120329
"Justice Department programs",121,120329
"Labor Dept. prgms",61,120329
"Medicaid",1330,120329
"Medicare",1449,120329
"NASA programs",0,120329
"Postal Service Money Orders and Other",113,120329
"Public Debt Cash Redemp.",99623,120329
"Social Security Benefits",1,120329
"Supple. Nutrition Assist. Program",23,120329
"Transportation Security Admin.",1,120329
"Unemployment Insurance Benefits",307,120329
"Veterans Affairs programs",149,120329
"Unclassified",1301,120329
"Total, Other Withdrawals",2213,120329
"Transfers to Depositaries",0,120329
"Commodity Credit Corporation programs",12,120328
"Defense Vendor Payments",1648,120328
"Education Department programs",917,120328
"Energy Department programs",195,120328
"Federal Employees Insurance Payments",201,120328
"Fed. Highway Administration programs",210,120328
"Federal Salaries",105,120328
"Food and Nutrition Service",176,120328
"GSA programs",54,120328
"Health and Human Services Grants",533,120328
"Housing and Urban Development programs",221,120328
"Interest on Treasury Securities",1,120328
"Justice Department programs",35,120328
"Labor Dept. prgms",50,120328
"Medicaid",1141,120328
"Medicare",1786,120328
"NASA programs",96,120328
"Postal Service Money Orders and Other",88,120328
"Public Debt Cash Redemp.",803,120328
"Social Security Benefits",10537,120328
"Supple. Nutrition Assist. Program",4,120328
"Transportation Security Admin.",1,120328
"Unemployment Insurance Benefits",491,120328
"Veterans Affairs programs",145,120328
"Emergency Prep &",101,120328
"IRS Tax Refunds Individual",4218,120328
"Unclassified",1622,120328
"Total, Other Withdrawals",6164,120328
"Transfers to Depositaries",0,120328
"Commodity Credit Corporation programs",13,120327
"Defense Vendor Payments",1686,120327
"Education Department programs",655,120327
"Energy Department programs",173,120327
"Federal Employees Insurance Payments",263,120327
"Fed. Highway Administration programs",68,120327
"Federal Salaries",122,120327
"Food and Nutrition Service",172,120327
"GSA programs",53,120327
"Health and Human Services Grants",388,120327
"Housing and Urban Development programs",212,120327
"Interest on Treasury Securities",1,120327
"Justice Department programs",51,120327
"Labor Dept. prgms",66,120327
"Medicaid",521,120327
"Medicare",1512,120327
"NASA programs",63,120327
"Postal Service Money Orders and Other",133,120327
"Public Debt Cash Redemp.",800,120327
"Social Security Benefits",43,120327
"Supple. Nutrition Assist. Program",13,120327
"Transportation Security Admin.",1,120327
"Unemployment Insurance Benefits",604,120327
"Veterans Affairs programs",116,120327
"Federal Financing Bank",90,120327
"IRS Tax Refunds Individual",1132,120327
"Treasury Department programs",151,120327
"Unclassified",1703,120327
"Total, Other Withdrawals",3295,120327
"Transfers to Depositaries",0,120327
"Commodity Credit Corporation programs",23,120326
"Defense Vendor Payments",1421,120326
"Education Department programs",612,120326
"Energy Department programs",153,120326
"Federal Employees Insurance Payments",427,120326
"Fed. Highway Administration programs",139,120326
"Federal Salaries",95,120326
"Food and Nutrition Service",572,120326
"GSA programs",56,120326
"Health and Human Services Grants",358,120326
"Housing and Urban Development programs",232,120326
"Interest on Treasury Securities",1,120326
"Justice Department programs",30,120326
"Labor Dept. prgms",44,120326
"Medicaid",341,120326
"Medicare",1597,120326
"NASA programs",42,120326
"Postal Service Money Orders and Other",165,120326
"Public Debt Cash Redemp.",1081,120326
"Social Security Benefits",52,120326
"Supple. Nutrition Assist. Program",35,120326
"Transportation Security Admin.",1,120326
"Unemployment Insurance Benefits",321,120326
"Veterans Affairs programs",171,120326
"Emergency Prep &",51,120326
"IRS Tax Refunds Business",319,120326
"IRS Tax Refunds Individual",1313,120326
"Unclassified",1311,120326
"Total, Other Withdrawals",3167,120326
"Transfers to Depositaries",0,120326
"Commodity Credit Corporation programs",20,120323
"Defense Vendor Payments",1745,120323
"Education Department programs",542,120323
"Energy Department programs",166,120323
"Federal Employees Insurance Payments",172,120323
"Fed. Highway Administration programs",139,120323
"Federal Salaries",81,120323
"Food and Nutrition Service",294,120323
"GSA programs",26,120323
"Health and Human Services Grants",413,120323
"Housing and Urban Development programs",208,120323
"Interest on Treasury Securities",1,120323
"Justice Department programs",58,120323
"Labor Dept. prgms",61,120323
"Medicaid",763,120323
"Medicare",1660,120323
"NASA programs",152,120323
"Postal Service Money Orders and Other",99,120323
"Public Debt Cash Redemp.",833,120323
"Social Security Benefits",44,120323
"Supple. Nutrition Assist. Program",53,120323
"Transportation Security Admin.",1,120323
"Unemployment Insurance Benefits",175,120323
"Veterans Affairs programs",113,120323
"IRS Tax Refunds Business",857,120323
"IRS Tax Refunds Individual",1770,120323
"Unclassified",1529,120323
"Total, Other Withdrawals",4562,120323
"Transfers to Depositaries",0,120323
"Commodity Credit Corporation programs",15,120322
"Defense Vendor Payments",1639,120322
"Education Department programs",625,120322
"Energy Department programs",149,120322
"Federal Employees Insurance Payments",510,120322
"Fed. Highway Administration programs",140,120322
"Federal Salaries",777,120322
"Food and Nutrition Service",275,120322
"GSA programs",97,120322
"Health and Human Services Grants",493,120322
"Housing and Urban Development programs",230,120322
"Interest on Treasury Securities",1,120322
"Justice Department programs",38,120322
"Labor Dept. prgms",68,120322
"Medicaid",1342,120322
"Medicare",1693,120322
"NASA programs",63,120322
"Postal Service Money Orders and Other",114,120322
"Public Debt Cash Redemp.",103406,120322
"Social Security Benefits",48,120322
"Supple. Nutrition Assist. Program",9,120322
"Transportation Security Admin.",1,120322
"Unemployment Insurance Benefits",312,120322
"Veterans Affairs programs",132,120322
"Federal Financing Bank",90,120322
"IRS Tax Refunds Individual",699,120322
"Unclassified",1292,120322
"Total, Other Withdrawals",2387,120322
"Transfers to Depositaries",0,120322
"Commodity Credit Corporation programs",15,120321
"Defense Vendor Payments",1535,120321
"Education Department programs",858,120321
"Energy Department programs",130,120321
"Federal Employees Insurance Payments",237,120321
"Fed. Highway Administration programs",87,120321
"Federal Salaries",122,120321
"Food and Nutrition Service",335,120321
"GSA programs",78,120321
"Health and Human Services Grants",259,120321
"Housing and Urban Development programs",230,120321
"Interest on Treasury Securities",1,120321
"Justice Department programs",34,120321
"Labor Dept. prgms",56,120321
"Medicaid",406,120321
"Medicare",1619,120321
"NASA programs",27,120321
"Postal Service Money Orders and Other",87,120321
"Public Debt Cash Redemp.",840,120321
"Social Security Benefits",10359,120321
"Supple. Nutrition Assist. Program",7,120321
"Transportation Security Admin.",1,120321
"Unemployment Insurance Benefits",492,120321
"Veterans Affairs programs",140,120321
"Emergency Prep &",60,120321
"Federal Financing Bank",361,120321
"IRS Tax Refunds Business",192,120321
"IRS Tax Refunds Individual",4986,120321
"Unclassified",1205,120321
"Total, Other Withdrawals",7227,120321
"Transfers to Depositaries",0,120321
"Commodity Credit Corporation programs",10,120320
"Defense Vendor Payments",2019,120320
"Education Department programs",454,120320
"Energy Department programs",162,120320
"Federal Employees Insurance Payments",240,120320
"Fed. Highway Administration programs",111,120320
"Federal Salaries",398,120320
"Food and Nutrition Service",315,120320
"GSA programs",61,120320
"Health and Human Services Grants",315,120320
"Housing and Urban Development programs",207,120320
"Interest on Treasury Securities",1,120320
"Justice Department programs",43,120320
"Labor Dept. prgms",35,120320
"Medicaid",1313,120320
"Medicare",2204,120320
"NASA programs",37,120320
"Postal Service Money Orders and Other",146,120320
"Public Debt Cash Redemp.",920,120320
"Social Security Benefits",38,120320
"Supple. Nutrition Assist. Program",15,120320
"Transportation Security Admin.",1,120320
"Unemployment Insurance Benefits",576,120320
"Veterans Affairs programs",120,120320
"IRS Tax Refunds Business",115,120320
"IRS Tax Refunds Individual",1372,120320
"Unclassified",1924,120320
"Total, Other Withdrawals",4055,120320
"Transfers to Depositaries",0,120320
"Commodity Credit Corporation programs",24,120319
"Defense Vendor Payments",1331,120319
"Education Department programs",822,120319
"Energy Department programs",89,120319
"Federal Employees Insurance Payments",154,120319
"Fed. Highway Administration programs",89,120319
"Federal Salaries",1417,120319
"Food and Nutrition Service",744,120319
"GSA programs",36,120319
"Health and Human Services Grants",391,120319
"Housing and Urban Development programs",306,120319
"Interest on Treasury Securities",1,120319
"Justice Department programs",52,120319
"Labor Dept. prgms",70,120319
"Medicaid",389,120319
"Medicare",1395,120319
"NASA programs",76,120319
"Postal Service Money Orders and Other",233,120319
"Public Debt Cash Redemp.",903,120319
"Social Security Benefits",44,120319
"Supple. Nutrition Assist. Program",37,120319
"Transportation Security Admin.",1,120319
"Unemployment Insurance Benefits",335,120319
"Veterans Affairs programs",252,120319
"Federal Financing Bank",99,120319
"International Monetary Fund",894,120319
"IRS Tax Refunds Business",114,120319
"IRS Tax Refunds Individual",1486,120319
"Unclassified",1884,120319
"Total, Other Withdrawals",4533,120319
"Transfers to Depositaries",0,120319
"Commodity Credit Corporation programs",30,120316
"Defense Vendor Payments",1777,120316
"Education Department programs",1165,120316
"Energy Department programs",149,120316
"Federal Employees Insurance Payments",182,120316
"Fed. Highway Administration programs",199,120316
"Federal Salaries",3022,120316
"Food and Nutrition Service",358,120316
"GSA programs",23,120316
"Health and Human Services Grants",307,120316
"Housing and Urban Development programs",166,120316
"Interest on Treasury Securities",1,120316
"Justice Department programs",72,120316
"Labor Dept. prgms",56,120316
"Medicaid",979,120316
"Medicare",1465,120316
"NASA programs",51,120316
"Postal Service Money Orders and Other",158,120316
"Public Debt Cash Redemp.",836,120316
"Social Security Benefits",38,120316
"Supple. Nutrition Assist. Program",9,120316
"Transportation Security Admin.",1,120316
"Unemployment Insurance Benefits",165,120316
"Veterans Affairs programs",98,120316
"IRS Tax Refunds Business",67,120316
"IRS Tax Refunds Individual",1832,120316
"Unclassified",1337,120316
"Total, Other Withdrawals",4004,120316
"Transfers to Depositaries",0,120316
"Commodity Credit Corporation programs",33,120315
"Defense Vendor Payments",1771,120315
"Education Department programs",542,120315
"Energy Department programs",216,120315
"Federal Employees Insurance Payments",166,120315
"Fed. Highway Administration programs",101,120315
